ISO639-3	Family
aar	Afro-Asiatic|Cushitic|East|Saho-Afar|B.3|Zaar Proper|2
ach	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Southern|Luo-Acholi|Alur-Acholi|Lango-Acholi
ada	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Ga-Dangme|Mina|B|North-South|Ubaghara-Kohumono|Ubaghara
ade	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Potou-Tano|Basila-Adele|B|North-South|Ubaghara-Kohumono|Ubaghara
afr	Indo-European|Germanic|West|Low Saxon-Low Franconian|Low Franconian
agq	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Wide Grassfields|Narrow Grassfields|Ring|West
aiw	Afro-Asiatic|Omotic|South|Mao|Gonga|South|Ometo|West
aka	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Potou-Tano|Tano|Central|Akan|Ubaghara-Kohumono|Ubaghara
alz	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Southern|Luo-Acholi|Alur-Acholi|Alur
amh	Afro-Asiatic|Semitic|South|Ethiopian|South|Transversal|Amharic-Argobba|West
anu	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Northern|Anuak
anw	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Cross River|Delta Cross|Lower Cross|Obolo|Efik|West
apd	Afro-Asiatic|Semitic|Central|South|Arabic|Mandaic|Northwestern|West
axk	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|C|Ngondi
bad	Niger-Congo|Atlantic-Congo|Savanna|Ubangian|Banda
bai	Niger–Congo|Atlantic–Congo|Volta-Congo|Benue–Congo|Bantoid|Southern Bantoid|Grassfields|Eastern Grassfields|Mbam-Nkam|Bamileke
bam	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Manding-Mokole|Manding|Manding-East|Northeastern Manding|Bamana
bas	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Basaa
bax	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Wide Grassfields|Narrow Grassfields|Mbam-Nkam|Nun
bba	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Bariba|Zande|Zande-Nzakara|Sere-Bviri|Ndogo-Sere|Monzombo|Vere
bbe	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Adamawa-Ubangi|Ubangi|Sere-Ngbaka-Mba|Ngbaka-Mba|Ngbaka|Eastern|Mayogo-Bangba|Vere
bci	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Potou-Tano|Tano|Central|Bia|Northern|Ubaghara
bdh	Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|West|Bongo-Bagirmi|Bongo-Baka|Baka|Kacipo-Balesi|Tennet|Luo|Lango-Acholi
bdm	Afro-Asiatic|Chadic|Biu-Mandara|B|B.1|Buduma|Podoko
bds	Afro-Asiatic|Cushitic|South|Yaaku|B.3|Zaar Proper|2
bej	Afro-Asiatic|Cushitic|North|Yaaku|B.3|Zaar Proper|2
bem	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|M|Bemba
bho	Indo-European|Indo-Iranian|Indo-Aryan|Outer Languages|Eastern|Bihari
bib	Niger-Congo|Mande|Eastern|Eastern|Bissa|Rere|Utoro|Kirma-Tyurama|Western|Southeast|Dagaari-Birifor|Dagaari
bif	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Eastern Senegal-Guinea|Tenda|Jola Proper|Kwatay|Jola-Kasa
bin	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Edoid|North-Central|Edo-Esan-Ora|Kiong-Korop|North-South|Ubaghara-Kohumono|Ubaghara
bum	Niger–Congo|Atlantic–Congo|Volta-Congo|Benue–Congo|Bantoid|Southern Bantoid|Bantu (Zone A)|Beti|Bulu
bob	Afro-Asiatic|Cushitic|East|Rendille-Boni|B.3|Zaar Proper|2
bpi	Afro-Asiatic|Chadic|Biu–Mandara|Wandala–Mafa|Wandala (A.4)|Parkwa
bqj	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Bak|Jola|Jola Proper|Jola Central|Gusilay
brk	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Northern|Nubian|Central|Birked
brl	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Sotho-Tswana
bsc	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Eastern Senegal-Guinea|Tenda|Jola Proper|Kwatay|Jola-Kasa
bsq	Niger-Congo|Atlantic-Congo|Volta-Congo|Kru|Western|Bassa|Western|B|North-South|Ubaghara-Kohumono|Ubaghara
bun	Niger-Congo|Atlantic-Congo|Atlantic|Southern|Mel|Bullom-Kissi|Bullom|Southern|Jola-Kasa
bvb	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Bubi-Benga
bwu	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Buli-Koma|Ndogo-Sere|Monzombo|Vere
byn	Afro-Asiatic|Cushitic|Central|Northern|B.3|Zaar Proper|2
cce	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Copi
cgg	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Nyoro-Ganda
cjk	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|K|Ciokwe-Luchazi
cop	Afro-Asiatic|Egyptian|South|Yaaku|B.3|Zaar Proper|2
crs	Creole, French based
cus	Afro-Asiatic|Cushitic
cwt	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Bak|Jola|Jola Proper|Kwatay|Jola-Kasa
dag	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Western|Southeast|Dagaari-Birifor|Dagaari
dav	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Nyika-Taita
ddn	Nilo-Saharan|Songhai|Southern|Maban|Surbakhal|Kresh|Sinyar|Sara|Vale|Sara Kaba|Luo|Lango-Acholi
dga	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Western|Northwest|Dagaari-Birifor|Dagaari
din	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Dinka-Nuer|Dinka
dje	Nilo-Saharan|Songhai|Southern|Maban|Surbakhal|Kresh|Sinyar|Sara|Vale|Sara Kaba|Luo|Lango-Acholi
dnj	Niger-Congo|Mande|Eastern|Southeastern|Guro-Tura|Tura-Dan-Mano|Tura-Dan|Kirma-Tyurama|Western|Southeast|Dagaari-Birifor|Dagaari
dua	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Duala
dyu	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Manding-Mokole|Manding|Manding-East|Northeastern Manding|Bamana
dzg	Nilo-Saharan|Saharan|Western|Tebu
ebu	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Kikuyu-Kamba
efi	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Cross River|Delta Cross|Lower Cross|Obolo|Efik|West
eke	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Cross River|Delta Cross|Lower Cross|Obolo|Ekit|West
elo	Afro-Asiatic|Cushitic|East|Western Omo-Tana|B.3|Zaar Proper|2
enb	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Southern|Kalenjin|Nandi-Markweta|Markweta
etu	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Ekoid|Suga-Vute|Vute
evh	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Edoid|Southwestern|Southern|Kiong-Korop|North-South|Ubaghara-Kohumono|Ubaghara
ewe	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Left Bank|Gbe|Wobe|B|North-South|Ubaghara-Kohumono|Ubaghara
ewo	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Ewondo-Fang
fak	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Yemne-Kimbi|Western Momo|Unclassified|West
fat	Niger–Congo|Atlantic–Congo|Kwa|Potou–Tano|Tano|Central Tano|Akan|Fante
fon	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Left Bank|Gbe|Fon|B|North-South|Ubaghara-Kohumono|Ubaghara
ful	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Senegambian|Fula-Wolof|Fula
fvr	Nilo-Saharan|Satellite-Core|Satellites|Fur|West|Kresh|Sinyar|Sara|Vale|Sara Kaba|Luo|Lango-Acholi
gaa	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Ga-Dangme|Mina|B|North-South|Ubaghara-Kohumono|Ubaghara
gax	Afro-Asiatic|Cushitic|East|Oromo|B.3|Zaar Proper|2
gba	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Adamawa-Ubangi|Ubangi|Gbaya-Manza-Ngbaka
gez	Afro-Asiatic|Semitic|South|Ethiopian|North|Mandaic|Northwestern|West
gol	Niger-Congo|Atlantic-Congo|Atlantic|Southern|Mel|Gola|Kissi|Southern|Jola-Kasa
grb	Niger-Congo|Atlantic-Congo|Volta-Congo|Kru|Western|Grebo
guk	Nilo-Saharan|Satellite-Core|Core|B’aga
gux	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Gurma|Ndogo-Sere|Monzombo|Vere
guz	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Logooli-Kuria
gyi	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Makaa-Njem
hau	Afro-Asiatic|Chadic|West|A|A.1|2|South
hdy	Afro-Asiatic|Cushitic|East|Highland|B.3|Zaar Proper|2
her	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|R|Herero
hts	Language Isolate
ibb	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Cross River|Delta Cross|Lower Cross|Obolo|Efik|West
ibo	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Igboid|Igbo|Etulo-Idoma|Idoma|North-South|Ubaghara-Kohumono|Ubaghara
ijo	Niger–Congo|Ijoid|Izon
ish	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Edoid|North-Central|Edo-Esan-Ora|Kiong-Korop|North-South|Ubaghara-Kohumono|Ubaghara
iso	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Edoid|Southwestern|Southern|Kiong-Korop|North-South|Ubaghara-Kohumono|Ubaghara
its	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Defoid|Yoruboid|Edekiri|Kiong-Korop|North-South|Ubaghara-Kohumono|Ubaghara
jad	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Manding-Mokole|Manding|Southeast|Dagaari-Birifor|Dagaari
kam	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Kikuyu-Kamba
kau	Nilo-Saharan|Saharan|Western|Kanuri
kbl	Nilo-Saharan|Saharan|Western|Kanuri
kbp	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Southern|Grusi|Eastern|Southeast|Dagaari-Birifor|Dagaari
kck	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S|Shona
kde	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|P|Yao
kik	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E|Kikuyu-Kamba
kin	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Ruanda-Rundi
kln	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|H|Kikongo
kmb	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|H|Kimbundu
kmq	Nilo-Saharan|Satellite-Core|Core|Koman|Southern|Temein|South|Southwest|Kacipo-Balesi|Tennet|Luo|Lango-Acholi
knf	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Bak|Manjaku-Papel|Jola Proper|Kwatay|Jola-Kasa
knk	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Manding-Mokole|Mokole|Manding-West|Southeastern Manding|Maninka-Mori
kno	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Vai-Kono|Mokole|Manding-West|Southeastern Manding|Maninka-Mori
knz	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Southern|Grusi|Northern|Southeast|Dagaari-Birifor|Dagaari
kon	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|H|Kikongo
koq	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|B|Kele
kot	Afro-Asiatic|Chadic|Biu-Mandara|B|B.1|Kotoko Proper|South
kpe	Niger-Congo|Mande|Western|Central-Southwestern|Southwestern|Kpelle
kqs	Niger-Congo|Atlantic-Congo|Atlantic|Southern|Mel|Bullom-Kissi|Kissi|Southern|Jola-Kasa
kri	Creole, English based|Atlantic|Krio
kro	Niger–Congo|Kru
krx	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Bak|Jola|Jola Proper|Karon-Mlomp|Jola-Kasa
kss	Niger-Congo|Atlantic-Congo|Atlantic|Southern|Mel|Bullom-Kissi|Kissi|Southern|Jola-Kasa
kuj	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|J|Logooli-Kuria
kun	Nilo-Saharan|Satellite-Core|Satellites|Kunama|West|Kresh|Sinyar|Sara|Vale|Sara Kaba|Luo|Lango-Acholi
kus	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Central|Northern|Oti-Volta|Western|Southeast|Dagaari-Birifor|Dagaari
kwn	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|K|Luyana
kzc	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Kulango|Southern|Kirma-Tyurama|Western|Southeast|Dagaari-Birifor|Dagaari
kzy	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|D|Lega-Holoholo
lai	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|M|Nyiha-Safwa
laj	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Southern|Luo-Acholi|Alur-Acholi|Lango-Acholi
lgg	Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|East|Moru-Madi|Central|Southwest|Kacipo-Balesi|Tennet|Luo|Lango-Acholi
lia	Niger-Congo|Atlantic-Congo|Atlantic|Southern|Limba|Serer|Wolof|Western|Jola-Kasa
