defined_class	defined_class_label	parent_class_label	population_size	xref
AfPO:0000287	Twa	Pygmy Central	0.04 million	https://en.wikipedia.org/wiki/Great_Lakes_Twa
AfPO:0000287	Twa	Pygmy Central	0.04 million	https://en.wikipedia.org/wiki/Twa
AfPO:0000145	Tuareg	Berber Northern	2.5 millions	https://en.wikipedia.org/wiki/Tuareg_people
AfPO:0000145	Tuareg	Berber Western	2.5 millions	https://en.wikipedia.org/wiki/Tuareg_people
AfPO:0000236	Ngoni	Bantu Eastern	0.758 million	https://en.wikipedia.org/wiki/Ngoni_people
AfPO:0000236	Ngoni	Bantu Southern	0.758 million	https://en.wikipedia.org/wiki/Ngoni_people
AfPO:0000542	Bandial@en	Jola	10125	https://fr.wikipedia.org/wiki/Bandials
AfPO:0000125	Hausa	Western African	90 millions	https://en.wikipedia.org/wiki/Hausa_people
AfPO:0000125	Hausa	Eastern African	90 millions	https://en.wikipedia.org/wiki/Hausa_people
AfPO:0000351	Swazi	Nguni	2.3 millions	https://en.wikipedia.org/wiki/Swazi_people
AfPO:0000351	Swazi	Nguni	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|S	https://en.wikipedia.org/wiki/Swazi_people
AfPO:0000043	Egypt	Northern Africa	97 millions	
AfPO:0000522	Fante@en	Akan	2 millions	https://en.wikipedia.org/wiki/Fante_people
AfPO:0000414	Bubi	Western African	0.1 million	https://en.wikipedia.org/wiki/Bubi_people
AfPO:0000414	Bubi	Western African	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A	https://en.wikipedia.org/wiki/Bubi_people
AfPO:0000414	Bubi	Western African	Niger–Congo	https://en.wikipedia.org/wiki/Bubi_people
AfPO:0000303	Ngbandi	Ubangi Central	0.122 million	https://en.wikipedia.org/wiki/Ngbandi_people
AfPO:0000383	Afar	Cushitic Eastern	6.3 million	https://en.wikipedia.org/wiki/Afar_people
AfPO:0000580	<http://purl.obolibrary.org/obo/afpo.owl#Karonica>	Jola	117000	https://en.wikipedia.org/wiki/Karoninka_people
AfPO:0000404	Kisii	Bantu Eastern	2.2 millions	https://en.wikipedia.org/wiki/Kisii_people
AfPO:0000392	Gurage	Semitic Eastern	Afro-Asiatic|Semitic|South|Ethiopian|South|Outer|tt-Group|West	https://en.wikipedia.org/wiki/Gurage_people
AfPO:0000392	Gurage	Semitic Eastern	1.9 millions	https://en.wikipedia.org/wiki/Gurage_people
AfPO:0000289	Kanembu	Kanuri	0.655 millions	https://en.wikipedia.org/wiki/Kanembu_people
AfPO:0000551	Kono@en	Mande Western	363000	https://en.wikipedia.org/wiki/Kono_people
AfPO:0000332	San	Southern African	0.1 million	https://en.wikipedia.org/wiki/San_people
AfPO:0000161	Dyula	Mande Western	6.8 millions	https://en.wikipedia.org/wiki/Dyula_people
AfPO:0000341	Ovambo	Bantu Southern	1.6 million	https://en.wikipedia.org/wiki/Ovambo_people
AfPO:0000368	Moor	Semite Northern	2 millions	https://en.wikipedia.org/wiki/Moors
AfPO:0000368	Moor	Semite Northern	2 millions	https://en.wikipedia.org/wiki/Azawagh_Arabs
AfPO:0000368	Moor	Semitic Eastern	2 millions	https://en.wikipedia.org/wiki/Moors
AfPO:0000368	Moor	Semitic Eastern	2 millions	https://en.wikipedia.org/wiki/Azawagh_Arabs
AfPO:0000019	Zambia	Central Africa	15.9 millions	
AfPO:0000279	Kotoko	Central African	< 1 million	https://en.wikipedia.org/wiki/Kotoko_people
AfPO:0000490	Masaba@en	Bantu Eastern	2.233 millions	https://en.wikipedia.org/wiki/Masaba_people
AfPO:0000324	Togo	Western Africa	7.96 millions	
AfPO:0000225	Hadza	Eastern African	Language Isolate	https://en.wikipedia.org/wiki/Hadza_people
AfPO:0000225	Hadza	Eastern African	1300 persons	https://en.wikipedia.org/wiki/Hadza_people
AfPO:0000556	Vai@en	Mande Western	240000	https://en.wikipedia.org/wiki/Vai_people
AfPO:0000485	Yakoma@en	Central African	177000	https://en.wikipedia.org/wiki/Yakoma_people
AfPO:0000240	Sena	Bantu Eastern	2 millions	https://en.wikipedia.org/wiki/Sena_people
AfPO:0000057	Samburu	Nilotic Eastern	0.1 millions	https://en.wikipedia.org/wiki/Samburu_people
AfPO:0000035	Chad	Central Africa	12 millions	
AfPO:0000403	Ganda	Bantu Eastern	6.7 millions	https://en.wikipedia.org/wiki/Ganda_people
AfPO:0000437	Hutu	Banyarwanda	16 millions	https://en.wikipedia.org/wiki/Hutu
AfPO:0000437	Hutu	Banyarwanda	Niger–Congo, Bantu	https://en.wikipedia.org/wiki/Hutu
AfPO:0000319	Niger	Western Africa	19.245 millions	
AfPO:0000340	Nguni	Bantu Southern	> 28 millions	https://en.wikipedia.org/wiki/Nguni_people
AfPO:0000340	Nguni	Bantu Southern	Niger–Congo, Bantu	https://en.wikipedia.org/wiki/Nguni_people
AfPO:0000206	Songhai	Nilotic Western	Nilo-Saharan	https://en.wikipedia.org/wiki/Songhai_people
AfPO:0000206	Songhai	Nilotic Western	5 millions	https://en.wikipedia.org/wiki/Songhai_people
AfPO:0000194	Banda	Ubangi Central	1.5 millions	https://en.wikipedia.org/wiki/Banda_people
AfPO:0000095	Anuak	Luo	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Northern	https://en.wikipedia.org/wiki/Anuak_people
AfPO:0000466	Myene@en	Bantu Central	117030	https://fr.wikipedia.org/wiki/Myènè_(peuple)
AfPO:0000548	Kulango@en	Western African	311500	https://fr.wikipedia.org/wiki/Koulango_(peuple)
AfPO:0000140	Chewa	Bantu Eastern	9 millions	https://en.wikipedia.org/wiki/Chewa_people
AfPO:0000519	Damara@en	Khoisan South	146000	https://en.wikipedia.org/wiki/Damara_people
AfPO:0000372	Wolaita	Eastern African	2 millions	https://en.wikipedia.org/wiki/Welayta_people
AfPO:0000372	Wolaita	Eastern African	Afro-Asiatic|Omotic|North|Gonga-Gimojan|Gimojan|Ometo-Gimira|Ometo|Central	https://en.wikipedia.org/wiki/Welayta_people
AfPO:0000278	Kanuri	Nilotic Central	>10 millions	https://en.wikipedia.org/wiki/Kanuri_people
AfPO:0000278	Kanuri	Nilotic Western	>10 millions	https://en.wikipedia.org/wiki/Kanuri_people
AfPO:0000309	Benin	Western Africa	11 millions	
AfPO:0000321	Saint Helena	Western Africa	0.05 million	
AfPO:0000150	Gurunsi	Gurma	0.8 millions	https://en.wikipedia.org/wiki/Gurunsi_peoples
AfPO:0000051	South Africa	Southern Africa	54.84 millions	
AfPO:0000422	Fon	Western African	4 millions	https://en.wikipedia.org/wiki/Fon_people
AfPO:0000338	Lemba	Bantu Southern	Niger–Congo, Bantu	https://en.wikipedia.org/wiki/Lemba_people
AfPO:0000338	Lemba	Bantu Southern	0.05 million	https://en.wikipedia.org/wiki/Lemba_people
AfPO:0000535	Bariba@en	Gurma	1.4 million	https://en.wikipedia.org/wiki/Bariba_people
AfPO:0000027	Comoros	Eastern Africa	0.8 millions	
AfPO:0000205	Jola	Western African	0.5 millions	https://en.wikipedia.org/wiki/Jola_people
AfPO:0000573	Birwa	Southern African	35500	https://en.wikipedia.org/wiki/Bobirwa
AfPO:0000545	Krio@en	Western African	104311	https://en.wikipedia.org/wiki/Sierra_Leone_Creole_people
AfPO:0000465	Makaa@en	Bantu Central	89500	https://en.wikipedia.org/wiki/Makaa_people
AfPO:0000294	Mbundu	Bantu Central	6.4 millions	https://en.wikipedia.org/wiki/Ambundu
AfPO:0000474	Mandar@en	Central African	90500	https://en.wikipedia.org/wiki/Mandara_people
AfPO:0000046	Libya	Northern Africa	6.65 millions	
AfPO:0000243	Nyakyusa	Bantu Eastern	1.050 millions	https://en.wikipedia.org/wiki/Nyakyusa_people
AfPO:0000132	Bemba	Bantu Southern	5 millions	https://en.wikipedia.org/wiki/Bemba_people
AfPO:0000308	Mauritania	Northern Africa	3.75 millions	
AfPO:0000501	Borana@en	Oromo	1025000	https://en.wikipedia.org/wiki/Boorana
AfPO:0000421	Ewe	Western African	6 millions	https://en.wikipedia.org/wiki/Ewe_people
AfPO:0000421	Ewe	Western African	Niger–Congo, Gbe	https://en.wikipedia.org/wiki/Ewe_people
AfPO:0000310	Burkina Faso	Western Africa	20.1 millions	
AfPO:0000337	Kwangali	Bantu Southern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|K|Luyana	https://en.wikipedia.org/wiki/Kwangali
AfPO:0000346	Yeyi	Bantu Southern	0.3 million	https://en.wikipedia.org/wiki/Yeyi_people
AfPO:0000346	Yeyi	Bantu Southern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|R	https://en.wikipedia.org/wiki/Yeyi_people
AfPO:0000578	Ndzwani	Swahili	365,900	
AfPO:0000401	Chaga	Bantu Eastern	2 millions	https://en.wikipedia.org/wiki/Chaga_people
AfPO:0000479	Nzebi@en	Central African	347614	https://fr.wikipedia.org/wiki/Nzebi_(peuple)
AfPO:0000262	Sinwa	Eastern African	0.025 million	https://en.wikipedia.org/wiki/Chinois_(R%C3%A9union)
AfPO:0000317	Liberia	Western Africa	4.68 millions	
AfPO:0000375	Kwama	Nilotic Eastern	Nilo-Saharan	https://en.wikipedia.org/wiki/Kwama_people
AfPO:0000031	Ethiopia	Eastern Africa	105.3 millions	
AfPO:0000211	Gaaliin	Eastern African	4 millions	https://en.wikipedia.org/wiki/Ja%27alin_tribe
AfPO:0000510	Pokot@en	Kalenjin	969000	https://en.wikipedia.org/wiki/Pokot_people
AfPO:0000040	Congo	Central Africa	4.95 millions	
AfPO:0000127	Mijikenda	Bantu Eastern	2.488 Millions	https://en.wikipedia.org/wiki/Mijikenda_peoples
AfPO:0000067	Bassa	Bantu Western	0.8 million	https://en.wikipedia.org/wiki/Bassa_people_(Cameroon)
AfPO:0000067	Bassa	Bantu Western	0.8 million	https://en.wikipedia.org/wiki/Bassa_people_(Liberia)
AfPO:0000411	Aku	Western African	0.01 million	https://en.wikipedia.org/wiki/Aku_people
AfPO:0000411	Aku	Western African	Creole, English based|Atlantic|Krio	https://en.wikipedia.org/wiki/Aku_people
AfPO:0000327	British diaspora	Southern African	2.5 millions	https://en.wikipedia.org/wiki/British_diaspora_in_Africa
AfPO:0000327	British diaspora	Eastern African	2.5 millions	https://en.wikipedia.org/wiki/British_diaspora_in_Africa
AfPO:0000228	Manjak	Western African	0.285 million	https://en.wikipedia.org/wiki/Manjak_people
AfPO:0000016	Seychelles	Eastern Africa	0.93 millions	
AfPO:0000488	Kiga@en	Bantu Eastern	3,420 Millions	https://en.wikipedia.org/wiki/Kiga_people
AfPO:0000406	Makonde	Bantu Eastern	1.3 millions	https://en.wikipedia.org/wiki/Makonde_people
AfPO:0000394	Rashaida	Semitic Eastern	0.2 millions	https://en.wikipedia.org/wiki/Rashaida_people
AfPO:0000562	Temne@en	Western African	2,225 Millions	https://en.wikipedia.org/wiki/Temne_people
AfPO:0000343	Sotho	Bantu Southern	7.130 millions	https://en.wikipedia.org/wiki/Sotho_people
AfPO:0000283	Baka_Cameroon	Pygmy Central	0.03 milion	https://en.wikipedia.org/wiki/Baka_people_(Cameroon_and_Gabon)
AfPO:0000199	Kalenjin	Nilotic Eastern	3 millions	https://en.wikipedia.org/wiki/Kalenjin_people
AfPO:0000112	Meru	Bantu Eastern	2.7 Millions	https://en.wikipedia.org/wiki/Meru_people
AfPO:0000121	Minianka	Senufo	0.74 million	https://fr.wikipedia.org/wiki/Minianka_(peuple)
AfPO:0000121	Minianka	Senufo	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Senufo|Suppire-Mamara|Kirma-Tyurama|Western|Southeast|Dagaari-Birifor|Dagaari	https://fr.wikipedia.org/wiki/Minianka_(peuple)
AfPO:0000049	Namibia	Southern Africa	2.48 millions	
AfPO:00003674	Gumuz	Nilotic Eastern	0.2 million	https://en.wikipedia.org/wiki/Gumuz_people
AfPO:00003674	Gumuz	Nilotic Eastern	Nilo-Saharan|Satellite-Core|Core|B’aga	https://en.wikipedia.org/wiki/Gumuz_people
AfPO:0000191	Mattokki	Nubian Northern	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Northern|Nubian|Central	
AfPO:0000191	Mattokki	Nubian Northern	0.050 million	
AfPO:0000410	Adele	Western African	Niger–Congo, Gbe	https://en.wikipedia.org/wiki/Adele_people
AfPO:0000410	Adele	Western African	0.05 million	https://en.wikipedia.org/wiki/Adele_people
AfPO:0000227	Serer	Western African	1.9 millions	https://en.wikipedia.org/wiki/Serer_people
AfPO:0000487	Mbeere@en	Embu	195250	https://en.wikipedia.org/wiki/Mbeere_people
AfPO:0000427	Urhobo	Western African	2 millions	https://en.wikipedia.org/wiki/Urhobo_people
AfPO:0000470	Pende@en	Bantu Central	250000	https://en.wikipedia.org/wiki/Pende_people
AfPO:0000104	Fulani	Northern African	25 millions	https://en.wikipedia.org/wiki/Fula_people
AfPO:0000104	Fulani	Central African	25 millions	https://en.wikipedia.org/wiki/Fula_people
AfPO:0000104	Fulani	Western African	25 millions	https://en.wikipedia.org/wiki/Fula_people
AfPO:0000104	Fulani	Eastern African	25 millions	https://en.wikipedia.org/wiki/Fula_people
AfPO:0000020	Kenya	Eastern Africa	47.61 millions	
AfPO:0000497	Tharaka@en	Bantu Eastern	175905	https://fr.wikipedia.org/wiki/Tharaka_(peuple)
AfPO:0000280	Masa	Central African	0.45 millions	https://en.wikipedia.org/wiki/Masa_people
AfPO:0000443	Kru	Pygmy Central	6.8 millions	https://en.wikipedia.org/wiki/Kru_people
AfPO:0000443	Kru	Western African	6.8 millions	https://en.wikipedia.org/wiki/Kru_people
AfPO:0000477	Marba@en	Central African	228000	https://fr.wikipedia.org/wiki/Marba_(peuple)
AfPO:0000297	Ngala	Bantu Central	25 millions	
AfPO:0000142	Tswana	Bantu Southern	15 millions	https://en.wikipedia.org/wiki/Tswana_people
AfPO:0000552	Kpelle@en	Mande Western	2 millions	https://en.wikipedia.org/wiki/Kpelle_people
AfPO:0000424	Ijaw	Western African	>14 millions	https://en.wikipedia.org/wiki/Ijaw_people
AfPO:0000559	Oron@en	Western African	1.407 million	https://en.wikipedia.org/wiki/Oron_people
AfPO:0000433	Kassena	Gurunsi	0.161 millions	https://en.wikipedia.org/wiki/Kassena
AfPO:0000349	Nambya	Shona	0.1 million	https://en.wikipedia.org/wiki/Nambya
AfPO:0000029	Uganda	Eastern Africa	39.5 millions	
AfPO:0000038	Democratic Republic of the Congo	Central Africa	83.30 millions	
AfPO:0000462	Eshira@en	Bantu Central	74000	https://en.wikipedia.org/wiki/Shira_people
AfPO:0000378	Lango	Luo	Nilo-Saharan, Nilotic, Luo	https://en.wikipedia.org/wiki/Lango_people
AfPO:0000378	Lango	Luo	Nilo-Saharan, Nilotic, Luo	https://en.wikipedia.org/wiki/Lango_people_(South_Sudan)
AfPO:0000378	Lango	Luo	2.2 millions	https://en.wikipedia.org/wiki/Lango_people
AfPO:0000378	Lango	Luo	2.2 millions	https://en.wikipedia.org/wiki/Lango_people_(South_Sudan)
AfPO:0000216	Nuba	Eastern African	>1.07 million	https://en.wikipedia.org/wiki/Nuba_peoples
AfPO:0000575	Ngazidja	Swahili	416,200	
AfPO:0000476	Manja@en	Central African	346000	https://en.wikipedia.org/wiki/Mandja_people
AfPO:0000296	Mongo	Bantu Central	>15 millions	https://en.wikipedia.org/wiki/Mongo_people
AfPO:0000416	Dogon	Western African	1.591 millions	https://en.wikipedia.org/wiki/Dogon_people
AfPO:0000416	Dogon	Western African	Niger-Congo|Atlantic-Congo|Volta-Congo|Dogon|Unclassified|Western|Southwestern|B|North-South|Ubaghara-Kohumono|Ubaghara	https://en.wikipedia.org/wiki/Dogon_people
AfPO:0000245	Antankarana	Malagasy	0.05 million	https://en.wikipedia.org/wiki/Antankarana
AfPO:0000134	Kamba	Bantu Eastern	4.663 millions	https://en.wikipedia.org/wiki/Kamba_people
AfPO:0000254	Bara	Malagasy	0.52 million	https://en.wikipedia.org/wiki/Bara_people
AfPO:0000023	Djibouti	Eastern Africa	0.86 million	
AfPO:0000432	Mende	Mande Western	2 millions	https://en.wikipedia.org/wiki/Mende_people
AfPO:0000348	Kalanga	Shona	0.75 million	https://en.wikipedia.org/wiki/Kalanga_people
AfPO:0000131	Mossi	Gurma	7.6 millions	https://en.wikipedia.org/wiki/Mossi_people
AfPO:0000201	Senufo	Western African	2 millions	https://en.wikipedia.org/wiki/Senufo_people
AfPO:0000391	Amhara	Semitic Eastern	24 millions	https://en.wikipedia.org/wiki/Amhara_people
AfPO:0000391	Amhara	Semitic Eastern	Afro-Asiatic|Semitic|South|Ethiopian|South|Transversal|Amharic-Argobba|West	https://en.wikipedia.org/wiki/Amhara_people
AfPO:0000541	Itsekiri@en	Western African	2.7 Million	https://en.wikipedia.org/wiki/Itsekiri_people
AfPO:0000461	Duala@en	Bantu Central	260000	https://en.wikipedia.org/wiki/Duala_people
AfPO:0000492	Nkole@en	Bantu Eastern	4,436 Millions	https://en.wikipedia.org/wiki/Nkole_people
AfPO:0000377	Alur	Luo	1.7 million	https://en.wikipedia.org/wiki/Alur_people
AfPO:0000386	Bilen	Cushitic Eastern	0.2 million	https://en.wikipedia.org/wiki/Bilen_people
AfPO:0000386	Bilen	Cushitic Eastern	Afro-Asiatic, Cushitic	https://en.wikipedia.org/wiki/Bilen_people
AfPO:0000042	Morocco	Northern Africa	33.9 millions	
AfPO:0000521	Aja@en	Western African	810000	https://en.wikipedia.org/wiki/Aja_people
AfPO:0000069	Zulu	Nguni	12 millions	https://en.wikipedia.org/wiki/Zulu_people
AfPO:0000413	Biafada	Western African	0.04	https://en.wikipedia.org/wiki/Biafada_people
AfPO:0000413	Biafada	Western African	Niger–Congo	https://en.wikipedia.org/wiki/Biafada_people
AfPO:0000329	Goffel	Southern African	Indo-European	https://en.wikipedia.org/wiki/Goffal
AfPO:0000329	Goffel	Southern African	0.03 millions	https://en.wikipedia.org/wiki/Goffal
AfPO:0000357	Copt	Eastern African	20 millions	https://en.wikipedia.org/wiki/Copts
AfPO:0000357	Copt	Northern African	20 millions	https://en.wikipedia.org/wiki/Copts
AfPO:0000018	Madagascar	Eastern Africa	2.5 millions	
AfPO:0000550	Jakhanke@en	Mande Western	115200	https://en.wikipedia.org/wiki/Jakhanke
AfPO:0000107	Zaghawa	Nilotic Central	0.4 million	https://en.wikipedia.org/wiki/Zaghawa_people
AfPO:0000107	Zaghawa	Nilotic Eastern	0.4 million	https://en.wikipedia.org/wiki/Zaghawa_people
AfPO:0000107	Zaghawa	Northern African	0.4 million	https://en.wikipedia.org/wiki/Zaghawa_people
AfPO:0000367	Maghrebi	Semite Northern	>72 millions	https://en.wikipedia.org/wiki/Maghrebis
AfPO:0000504	Antanosy@en	Malagasy	772000	https://en.wikipedia.org/wiki/Antanosy_people
AfPO:0000313	Gambia	Western Africa	2.05 millions	
AfPO:0000285	Efé	Pygmy Central	0.07 million	https://en.wikipedia.org/wiki/Efé_people
AfPO:0000323	Sierra Leone	Western Africa	6.16 millions	
AfPO:0000034	Angola	Central Africa	29.3 millions	
AfPO:0000520	Aghem@en	Western African	61500	
AfPO:0000012	Eritrea	Eastern Africa	5.91 millions	
AfPO:0000183	Khoisan Eastern	Eastern African	0.4 million	https://en.wikipedia.org/wiki/Khoisan
AfPO:0000509	Marakwet@en	Kalenjin	180000	https://en.wikipedia.org/wiki/Marakwet_people
AfPO:0000429	Bissa	Mande Western	1.7 millions	https://en.wikipedia.org/wiki/Bissa_people
AfPO:0000318	Mali	Western Africa	17.88 millions	
AfPO:0000481	Gyele@en	Pygmy Central	5500	https://en.wikipedia.org/wiki/Gyele_people
AfPO:0000409	Tumbuka	Bantu Eastern	1.546 millions	https://en.wikipedia.org/wiki/Tumbuka_people
AfPO:0000366	Haratin	Semite Northern	2 millions	https://en.wikipedia.org/wiki/Haratin
AfPO:0000366	Haratin	Semite Northern	Afro-Asiatic, Semitic	https://en.wikipedia.org/wiki/Haratin
AfPO:0000397	Tigré	Semitic Eastern	1.5 millions	https://en.wikipedia.org/wiki/Tigre_people
AfPO:0000397	Tigré	Semitic Eastern	Afro-Asiatic|Semitic|South|Ethiopian|North|Mandaic|Northwestern|West	https://en.wikipedia.org/wiki/Tigre_people
AfPO:0000050	Eswatini	Southern Africa	1.46 millions	
AfPO:0000467	Nande@en	Bantu Central	2.355 millions	https://fr.wikipedia.org/wiki/Nande_(peuple)
AfPO:0000250	Antemoro	Malagasy	0.5 million	https://en.wikipedia.org/wiki/Antemoro_people
AfPO:0000430	Mandinka	Mande Western	13 millions	https://en.wikipedia.org/wiki/Mandinka_people
AfPO:0000518	Lozi@en	Sotho	3,575 Millions	https://en.wikipedia.org/wiki/Lozi_people
AfPO:0000299	Tikar	Bantu Central	0.025 million	https://en.wikipedia.org/wiki/Tikar_people
AfPO:0000419	Eket	Western African	Niger–Congo, Cross River	https://en.wikipedia.org/wiki/Eket
AfPO:0000419	Eket	Western African	0.3 millions	https://en.wikipedia.org/wiki/Eket
AfPO:0000115	Fur	Nilotic Eastern	1 million	https://en.wikipedia.org/wiki/Fur_people
AfPO:0000322	Senegal	Western Africa	14.66 millions	
AfPO:0000248	Sakalava	Malagasy	1.2 millions	https://en.wikipedia.org/wiki/Sakalava_people
AfPO:0000257	Mahafaly	Malagasy	0.15 million	https://en.wikipedia.org/wiki/Mahafaly
AfPO:0000291	Chokwe	Bantu Central	1.1 million	https://en.wikipedia.org/wiki/Chokwe_people
AfPO:0000399	Sandawe	Khoisan Eastern	0.06 million	https://en.wikipedia.org/wiki/Sandawe_people
AfPO:0000399	Sandawe	Khoisan Eastern	Language Isolate	https://en.wikipedia.org/wiki/Sandawe_people
AfPO:0000302	Gbaya	Ubangi Central	1.5 million	https://en.wikipedia.org/wiki/Gbaya_people
AfPO:0000534	Guan@en	Western African	1 million	https://en.wikipedia.org/wiki/Guang_people
AfPO:0000026	United Republic of Tanzania	Eastern Africa	53.9 millions	
AfPO:0000382	Hill Nubian	Nubian Eastern	0.063 million	https://en.wikipedia.org/wiki/Hill_Nubians
AfPO:0000435	Dendi	Songhai	0.2 million	https://en.wikipedia.org/wiki/Dendi_people
AfPO:0000435	Dendi	Songhai	Niger–Congo	https://en.wikipedia.org/wiki/Dendi_people
AfPO:0000204	Daza	Toubou	Nilo-Saharan	
AfPO:0000572	Ewondo	Beti-Pahuin	2500000	https://fr.wikipedia.org/wiki/Ewondo_(peuple)
AfPO:0000464	Kota@en	Bantu Central	81500	https://en.wikipedia.org/wiki/Kota_people_(Gabon)
AfPO:0000293	Luba	Bantu Central	>15 millions	https://en.wikipedia.org/wiki/Luba_people
AfPO:0000473	Vili@en	Bantu Central	100000	https://en.wikipedia.org/wiki/Vili_people
AfPO:0000389	Somali	Cushitic Eastern	>20 millions	https://en.wikipedia.org/wiki/Somalis
AfPO:0000242	Chipeta	Bantu Eastern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|N|Chewa-Nyanja	
AfPO:0000418	Efik	Western African	0.9 millions	https://en.wikipedia.org/wiki/Efik_people
AfPO:0000307	Toubou	Nilotic Eastern	2.25 millions	
AfPO:0000307	Toubou	Nilotic Western	2.25 millions	
AfPO:0000307	Toubou	Nilotic Central	2.25 millions	
AfPO:0000307	Toubou	Northern African	2.25 millions	
AfPO:0000420	Esan	Western African	1.5 millions	https://en.wikipedia.org/wiki/Esan_people
AfPO:0000420	Esan	Western African	Niger–Congo, Volta-Niger	https://en.wikipedia.org/wiki/Esan_people
AfPO:0000256	Antandroy	Malagasy	0.6 million	https://en.wikipedia.org/wiki/Antandroy
AfPO:0000555	Mano@en	Mande Western	498000	https://en.wikipedia.org/wiki/Mano_people
AfPO:0000336	Himba	Bantu Southern	0.05 million	https://en.wikipedia.org/wiki/Himba_people
